IUGU CODE,OPENING STOCK
IU_002,14533.462029913042
IU_001,85529.68132708635
GU_001,2959.0305099999982
GU_002,28224.812272178173
GU_003,15677.025
GU_004,3898.93
IU_003,19551.361677436103
IU_004,773.1179365846474
GU_005,6763.682886950157
IU_005,56975.14963464862
GU_006,10895.393495717344
GU_007,21855.908904558877
GU_008,11189.38896409646
IU_007,81492.0819079514
GU_009,15255.838656542355
IU_009,15558.806053056987
IU_010,14018.27198334389
IU_011,17204.337891567415
GU_011,1940.0
GU_012,4205.521459011156
GU_013,9926.177342667734
IU_012,19310.98400000003
IU_013,40427.0
GU_014,2952.421885074629
IU_014,87177.26966246667
IU_015,127537.21
GU_015,8197.033159175226
GU_016,4628.355000000003
IU_016,55667.65409301459
GU_017,9693.228999999992
GU_018,14614.4
GU_019,89718.22574731642
IU_017,176793.49860933746
GU_020,50164.305214624525
GU_021,45075.07978037465
IU_018,5376.125969015319
IU_019,7651.494116332349
GU_022,3962.835363831676
GU_023,41196.32160000001
GU_024,2763.826259746904
IU_020,31958.733383719493
IU_008,36494.008886004616
IU_006,24846.888832319062
GU_010,9984.303998361735
